latitude,longitude,room_type,bathrooms,bedrooms,beds,price,property_type,accommodates
37.74768829,-122.4252167,Private room,1.0,1.0,1.0,82.0,Private room in home,2
37.74838,-122.47307,Entire home/apt,1.0,2.0,2.0,288.0,Entire home,4
37.77097,-122.43218,Entire home/apt,1.0,2.0,3.0,221.0,Entire home,5
37.79142,-122.41726,Entire home/apt,3.5,5.0,6.0,450.0,Entire rental unit,10
37.72268,-122.44016,Private room,1.0,2.0,1.0,62.0,Private room in home,1
37.72366,-122.43981,Private room,1.0,1.0,1.0,59.0,Private room in home,1
37.72345,-122.43956,Entire home/apt,1.0,2.0,3.0,241.0,Entire rental unit,8
37.73093,-122.49194,Private room,1.0,1.0,1.0,91.0,Private room in rental unit,2
37.75486,-122.47669,Private room,2.0,1.0,1.0,86.0,Private room in home,2
37.80099437,-122.4450943,Entire home/apt,1.0,1.0,2.0,285.0,Entire rental unit,4
37.75433,-122.47838,Private room,2.0,1.0,1.0,72.0,Private room in home,2
37.76338,-122.47896,Private room,1.0,1.0,1.0,85.0,Private room in home,1
37.72861,-122.49287,Entire home/apt,2.0,2.0,3.0,200.0,Entire guesthouse,8
37.77911,-122.4482,Entire home/apt,1.0,1.0,1.0,300.0,Entire rental unit,4
37.74709,-122.47622,Private room,2.0,1.0,1.0,121.0,Private room in home,2
37.75795,-122.41748,Private room,1.0,2.0,2.0,242.0,Private room in home,4
37.75138,-122.41016,Entire home/apt,2.0,3.0,3.0,713.0,Entire rental unit,5
37.74311,-122.45086,Entire home/apt,1.0,1.0,1.0,475.0,Entire home,2
37.78449,-122.48855,Entire home/apt,2.5,3.0,3.0,399.0,Entire home,5
37.76431,-122.47889,Private room,0.0,0.0,0.0,57.0,Private room in rental unit,3
37.76262,-122.47854,Private room,1.0,1.0,1.0,58.0,Private room in rental unit,2
37.78376,-122.47443,Private room,1.0,1.0,1.0,88.0,Private room in rental unit,2
37.76488,-122.47843,Private room,1.0,1.0,1.0,105.0,Private room in home,1
37.77611,-122.47063,Entire home/apt,1.5,2.0,2.0,264.0,Entire condo,4
37.79294,-122.40806,Entire home/apt,1.0,0.0,2.0,110.0,Entire rental unit,4
37.72068,-122.39141,Private room,1.0,1.0,1.0,99.0,Private room in home,3
37.79528,-122.41884,Entire home/apt,1.0,3.0,3.0,130.0,Entire rental unit,4
37.77494,-122.42638,Entire home/apt,1.0,1.0,2.0,450.0,Entire guest suite,4
37.73246,-122.41803,Entire home/apt,1.0,1.0,1.0,68.0,Entire guest suite,2
37.79488,-122.40518,Entire home/apt,1.0,1.0,2.0,98.0,Entire rental unit,2
37.7842,-122.41518,Entire home/apt,1.0,0.0,1.0,78.0,Entire rental unit,2
37.75305,-122.39995,Entire home/apt,2.0,3.0,4.0,240.0,Entire home,8
37.78552,-122.4143,Entire home/apt,1.0,0.0,1.0,77.0,Entire rental unit,2
37.75784,-122.38972,Entire home/apt,1.0,1.0,1.0,347.0,Entire rental unit,2
37.74717,-122.44827,Entire home/apt,2.0,2.0,3.0,435.0,Entire guest suite,5
37.76035,-122.43505,Private room,1.0,1.0,1.0,212.0,Private room in rental unit,1
37.79325,-122.41694,Entire home/apt,1.0,1.0,3.0,250.0,Entire rental unit,4
37.78369,-122.46364,Private room,2.0,1.0,2.0,83.0,Private room in home,3
37.78157,-122.46359,Private room,2.0,1.0,2.0,69.0,Private room in home,4
37.79418,-122.41437,Entire home/apt,1.0,1.0,1.0,150.0,Entire rental unit,2
37.73679,-122.49723,Private room,1.0,1.0,1.0,41.0,Private room in home,1
37.76187,-122.50718,Entire home/apt,1.0,1.0,1.0,146.0,Entire guest suite,2
37.77107,-122.45283,Private room,1.0,1.0,1.0,80.0,Private room in rental unit,2
37.75641,-122.43334,Entire home/apt,2.5,2.0,3.0,295.0,Entire condo,6
37.77964349,-122.4546512,Entire home/apt,1.0,1.0,2.0,298.0,Entire guest suite,4
37.76332,-122.48032,Private room,1.0,1.0,1.0,90.0,Private room in home,1
37.7557,-122.50333,Entire home/apt,1.0,1.0,1.0,101.0,Entire guest suite,2
37.76116,-122.40166,Entire home/apt,1.0,1.0,1.0,165.0,Entire rental unit,2
37.78726,-122.41428,Private room,0.0,0.0,1.0,105.0,Private room in rental unit,2
37.74087,-122.41257,Entire home/apt,1.0,2.0,2.0,624.0,Entire home,4
37.74204,-122.40837,Private room,1.0,1.0,2.0,86.0,Private room in home,2
37.72667,-122.46094,Entire home/apt,1.0,1.0,2.0,149.0,Entire guest suite,2
37.76167,-122.44449,Entire home/apt,1.0,1.0,1.0,184.0,Entire guest suite,3
37.74365,-122.45889,Entire home/apt,1.0,0.0,1.0,107.0,Entire guest suite,3
37.7673,-122.44015,Entire home/apt,1.0,1.0,1.0,185.0,Entire rental unit,2
37.71536,-122.43554,Entire home/apt,2.0,3.0,3.0,197.0,Entire home,6
37.78827,-122.41137,Entire home/apt,1.0,0.0,2.0,463.0,Entire condo,4
37.75779,-122.49204,Entire home/apt,1.0,1.0,1.0,180.0,Entire home,2
37.74296042,-122.4642807,Entire home/apt,1.0,2.0,2.0,259.0,Entire home,4
37.77575,-122.49562,Entire home/apt,1.0,2.0,2.0,175.0,Entire guest suite,4
37.76309,-122.48022,Private room,1.0,1.0,1.0,94.0,Private room in home,1
37.77628,-122.49414,Entire home/apt,1.0,2.0,3.0,196.0,Entire guest suite,5
37.7943,-122.41655,Entire home/apt,1.0,1.0,1.0,240.0,Entire condo,2
37.7599,-122.50405,Private room,0.0,1.0,1.0,155.0,Private room in guest suite,2
37.80077,-122.42981,Entire home/apt,2.0,3.0,3.0,250.0,Entire serviced apartment,6
37.77058,-122.42743,Entire home/apt,1.0,1.0,1.0,235.0,Entire rental unit,2
37.74774,-122.40776,Private room,1.5,1.0,1.0,170.0,Private room in townhouse,2
37.74436,-122.4323,Entire home/apt,1.0,2.0,2.0,99.0,Entire rental unit,4
37.80439,-122.40437,Entire home/apt,1.0,1.0,2.0,151.0,Entire condo,2
37.75502,-122.40762,Entire home/apt,1.0,2.0,2.0,386.0,Entire home,3
37.78889,-122.40926,Entire home/apt,1.0,0.0,2.0,362.0,Entire condo,4
